id, address, area, category, base price, sale price, competitors count, notes
3, 宜蘭縣壯圍鄉新福段861地號, 103.00, 特定農業區農牧用地, "462,470", , , 
4, 宜蘭縣員山鄉員山段193地號, 624.47（國有持分165/400，面積約257.59平方公尺）, 農業區, "4,816,933", , , 
5, 宜蘭縣員山鄉深洲段740地號, 151.16, 特定農業區甲種建築用地, "7,370,942", , , 
5, 宜蘭縣員山鄉深洲段742地號, 374.96, 特定農業區甲種建築用地, "7,370,942", , ,
6, 宜蘭縣五結鄉三興段550地號, 21.32（國有持分7/10，面積約14.92平方公尺）, 住宅區, "1,757,242", , , 
6, 宜蘭縣五結鄉三興段551地號, 154.36（國有持分7/10，面積約108.05平方公尺）, 住宅區, "1,757,242", , ,
7, 宜蘭縣冬山鄉太和段430地號, 384.84, 一般農業區甲種建築用地, "4,560,354", , , 
8, 宜蘭縣蘇澳鎮蘇市段825地號, 80.55, 商業區, "1,735,853", , , 
9, 宜蘭縣三星鄉大隱段211地號, 1439.00, 特定農業區甲種建築用地, "24,232,760", , , 
10, 宜蘭縣三星鄉大德段1363-1地號, 1092.00, 特定農業區甲種建築用地, "17,515,680", "25,077,777", 6, 得標
11, 宜蘭縣三星鄉大德段1364地號, 420.00, 特定農業區甲種建築用地, "6,736,800", "9,077,777", 8, 得標
1, 宜蘭縣壯圍鄉壯濱一段0691-0000地號, 509.41, 一般農業區農牧用地, "662,233", "698,889", 3, 得標
2, 宜蘭縣壯圍鄉新福段1203-0000地號, 510.00, 特定農業區農牧用地, "1,122,000", "1,542,700", 5, 得標
3, 宜蘭縣冬山鄉梅山段1132-0000地號, 10992.03, 山坡地保育區農牧用地, "6,155,537", , , 
4, 宜蘭縣冬山鄉梅山段1133-0000地號, 1986.79, 山坡地保育區農牧用地, "1,112,602", "1,126,000", 1, 得標
5, 宜蘭縣員山鄉隘界三段1088-0000地號, 2886.14, 山坡地保育區農牧用地, "808,119", , , 
6, 宜蘭縣宜蘭市梅洲段0477-0011地號, 65.00, 特定農業區農牧用地, "221,000", , , 
8, 宜蘭縣宜蘭市梅洲段0477-0003地號, 448.00/(持分42/448), 特定農業區農牧用地, "142,800", "260,000", 1, 得標
10, 宜蘭縣宜蘭市凱旋段0449-0001地號, 118.00/(持分1/2), 特定農業區交通用地, "218,300", "218,300", 1, 得標
11, 宜蘭縣宜蘭市坤門二段1041-0000地號, 12.35, 住宅區, "1,264,960", "1,264,965", 1, 得標
11, 宜蘭縣宜蘭市坤門二段1042-0000地號, 11.25, 住宅區, "1,264,960", "1,264,965", 1,
12, 宜蘭縣五結鄉大吉一段0207-0000地號, 110.10/(持分1/2), 特定農業區農牧用地, "181,665", "182,000", 1, 得標
13, 宜蘭縣頭城鎮大坑罟段0079-0004地號, 534.00/(持分1/10), 住宅區, "901,232", "901,233", 1, 得標
